"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,77.8,,
"FIN","Finland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,64.5,,
"HUN","Hungary","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,59.9,,
"PRT","Portugal","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,70.4,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,58.9,,
"SWE","Sweden","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,72.2,,
"POL","Poland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,59,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,76.9,,
"ESP","Spain","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,32.5,,
"PRT","Portugal","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,60.5,,
"IDN","Indonesia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,79.7,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,57.4,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,78.5,,
"ESP","Spain","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,76.3,,
"SVN","Slovenia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,58.4,,
"BEL","Belgium","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,68.3,,
"FRA","France","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,70.8,,
"NLD","Netherlands","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,75.7,,
"SVN","Slovenia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,67.2,,
"CZE","Czech Republic","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,73.6,,
"OAVG","OECD - Average","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,55.1,,
"CHE","Switzerland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,71.3,,
"FIN","Finland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,66.9,,
"NOR","Norway","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,67.2,,
"PRT","Portugal","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,61.6,,
"ITA","Italy","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,46.1,,
"NOR","Norway","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,73.3,,
"GBR","United Kingdom","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,66.5,,
"IDN","Indonesia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,49.4,,
"FRA","France","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,52.2,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,61.3,,
"GRC","Greece","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,73.4,,
"ESP","Spain","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,52.5,,
"JPN","Japan","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,81.3,,
"NLD","Netherlands","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,79.5,,
"DNK","Denmark","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,80.9,,
