"COUNTRY","Country","AGE","Age","INTENSITY","Intensity","SEX","Gender","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator name","YEAR","Year","Value","Flag Codes","Flags"
"AUT","Austria","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",11.373,,
"BEL","Belgium","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",21.367,,
"BEL","Belgium","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",21.613,,
"BEL","Belgium","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",22.778,,
"BEL","Belgium","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",22.112,,
"BEL","Belgium","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",14.875,,
"BEL","Belgium","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",15.17,,
"BEL","Belgium","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",16.153,,
"BEL","Belgium","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",15.501,,
"CAN","Canada","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",19.273,,
"CAN","Canada","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",20.085,,
"CAN","Canada","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",20.308,,
"CAN","Canada","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",20.164,,
"CAN","Canada","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",14.235,,
"CAN","Canada","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",14.603,,
"CAN","Canada","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",15.149,,
"CAN","Canada","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",15.113,,
"CZE","Czech Republic","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",6.631,,
"CZE","Czech Republic","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",6.518,,
"CZE","Czech Republic","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",6.45,,
"CZE","Czech Republic","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",6.223,,
"CZE","Czech Republic","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",4.195,,
"CZE","Czech Republic","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",4.099,,
"CZE","Czech Republic","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",4.047,,
"CZE","Czech Republic","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",3.864,,
"DNK","Denmark","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",1.942,,
"DNK","Denmark","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",1.887,,
"DNK","Denmark","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",1.692,,
"DNK","Denmark","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",1.453,,
"DNK","Denmark","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",1.535,,
"DNK","Denmark","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",1.535,,
"DNK","Denmark","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",1.4,,
"DNK","Denmark","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",1.261,,
"FIN","Finland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",3.611,,
"FIN","Finland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",3.283,,
"FIN","Finland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",2.951,,
"FIN","Finland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",2.711,,
"FIN","Finland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",3.414,,
"FIN","Finland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",3.374,,
"FIN","Finland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",3.092,,
"FIN","Finland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",2.984,,
"FRA","France","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",19.847,,
"FRA","France","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",20.315,,
"FRA","France","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",21.059,,
"FRA","France","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",21.988,,
"FRA","France","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",16.527,,
"FRA","France","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",17.007,,
"FRA","France","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",17.426,,
"FRA","France","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",18.193,,
"DEU","Germany","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",5.939,,
"DEU","Germany","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",6.548,,
"DEU","Germany","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",7.116,,
"DEU","Germany","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",7.181,,
"DEU","Germany","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",4.63,,
"DEU","Germany","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",4.855,,
"DEU","Germany","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",5.189,,
"DEU","Germany","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",5.305,,
"GRC","Greece","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",23.759,,
"GRC","Greece","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",23.273,,
"GRC","Greece","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",23.13,,
"GRC","Greece","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",23.066,,
"GRC","Greece","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",18.933,,
"GRC","Greece","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",18.39,,
"GRC","Greece","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",18.659,,
"GRC","Greece","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",19.308,,
"HUN","Hungary","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",6.844,,
"HUN","Hungary","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",6.527,,
"HUN","Hungary","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",6.531,,
"HUN","Hungary","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",6.556,,
"HUN","Hungary","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",4.748,,
"HUN","Hungary","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",4.836,,
"HUN","Hungary","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",4.873,,
"HUN","Hungary","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",4.863,,
"ISL","Iceland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0.915,,
"ISL","Iceland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",0.829,,
"ISL","Iceland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",1.138,,
"ISL","Iceland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",1.117,,
"ISL","Iceland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0.513,,
"ISL","Iceland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",0.613,,
"ISL","Iceland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",0.62,,
"ISL","Iceland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",0.703,,
"IRL","Ireland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",17.687,,
"IRL","Ireland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",18.215,,
"IRL","Ireland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",18.023,,
"IRL","Ireland","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",18.048,,
"IRL","Ireland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",15.456,,
"IRL","Ireland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",15.601,,
"IRL","Ireland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",15.424,,
"IRL","Ireland","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",15.517,,
"ITA","Italy","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0.506,,
"ITA","Italy","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",8.381,,
"ITA","Italy","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",8.843,,
"ITA","Italy","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",9.624,,
"ITA","Italy","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0.353,,
"ITA","Italy","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",5.956,,
"ITA","Italy","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",6.287,,
"ITA","Italy","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",6.697,,
"JPN","Japan","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",,"x","Data included in another category"
"JPN","Japan","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",,"x","Data included in another category"
"JPN","Japan","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",,"x","Data included in another category"
"JPN","Japan","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",,"x","Data included in another category"
"JPN","Japan","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",,"x","Data included in another category"
"JPN","Japan","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",,"x","Data included in another category"
"JPN","Japan","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",,"x","Data included in another category"
"JPN","Japan","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",,"x","Data included in another category"
"KOR","Korea","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",29.996,,
"KOR","Korea","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",29.997,,
"KOR","Korea","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",30.498,,
"KOR","Korea","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",31.119,,
"KOR","Korea","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",27.34,,
"KOR","Korea","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",26.732,,
"KOR","Korea","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",27.016,,
"KOR","Korea","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",27.595,,
"LUX","Luxembourg","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0.729,,
"LUX","Luxembourg","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",0.758,,
"LUX","Luxembourg","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",0.696,,
"LUX","Luxembourg","Y15T19","15-19 years","T","Full- and part-time","F","Women","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2018","2018",0.732,,
"LUX","Luxembourg","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2015","2015",0.498,,
"LUX","Luxembourg","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2016","2016",0.374,,
"LUX","Luxembourg","Y15T19","15-19 years","T","Full- and part-time","M","Men","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_RATE_AGE","Enrolment rate by age","2017","2017",0.606,,
